Action,Reward,Jumping,Enemy state,Distance,Life,EnemyLife,Action2,Jumping2,Enemy state2,Distance2,Life2,EnemyLife2,Action3,Jumping3,Enemy state3,Distance3,Life3,EnemyLife3,Action4,Jumping4,Enemy state4,Distance4,Life4,EnemyLife4,Action5,Jumping5,Enemy state5,Distance5,Life5,EnemyLife5,Action6,Jumping6,Enemy state6,Distance6,Life6,EnemyLife6,Action7,Jumping7,Enemy state7,Distance7,Life7,EnemyLife7,Action8,Jumping8,Enemy state8,Distance8,Life8,EnemyLife8,Action9,Jumping9,Enemy state9,Distance9,Life9,EnemyLife9,Action10,Jumping10,Enemy state10,Distance10,Life10,EnemyLife10
0,-0.25,0,37,1,1,0,0.0,0.0,1369.0,1.0,1.0,0.0,0.0,0.0,50653.0,1.0,1.0,0.0,0.0,0.0,1874161.0,1.0,1.0,0.0,0.0,0.0,6.9343957E7,1.0,1.0,0.0,0.0,0.0,2.565726409E9,1.0,1.0,0.0,0.0,0.0,9.4931877133E10,1.0,1.0,0.0,0.0,0.0,3.512479453921E12,1.0,1.0,0.0,0.0,0.0,1.29961739795077E14,1.0,1.0,0.0,0.0,0.0,4.808584372417849E15,1.0,1.0,0.0
0,-0.47204332552693207,0,7,1,2,1,0.0,0.0,49.0,1.0,4.0,1.0,0.0,0.0,343.0,1.0,8.0,1.0,0.0,0.0,2401.0,1.0,16.0,1.0,0.0,0.0,16807.0,1.0,32.0,1.0,0.0,0.0,117649.0,1.0,64.0,1.0,0.0,0.0,823543.0,1.0,128.0,1.0,0.0,0.0,5764801.0,1.0,256.0,1.0,0.0,0.0,4.0353607E7,1.0,512.0,1.0,0.0,0.0,2.82475249E8,1.0,1024.0,1.0
0,0.03125,0,10,1,2,2,0.0,0.0,100.0,1.0,4.0,4.0,0.0,0.0,1000.0,1.0,8.0,8.0,0.0,0.0,10000.0,1.0,16.0,16.0,0.0,0.0,100000.0,1.0,32.0,32.0,0.0,0.0,1000000.0,1.0,64.0,64.0,0.0,0.0,1.0E7,1.0,128.0,128.0,0.0,0.0,1.0E8,1.0,256.0,256.0,0.0,0.0,1.0E9,1.0,512.0,512.0,0.0,0.0,1.0E10,1.0,1024.0,1024.0
0,5.410344827586207,1,10,0,2,0,0.0,1.0,100.0,0.0,4.0,0.0,0.0,1.0,1000.0,0.0,8.0,0.0,0.0,1.0,10000.0,0.0,16.0,0.0,0.0,1.0,100000.0,0.0,32.0,0.0,0.0,1.0,1000000.0,0.0,64.0,0.0,0.0,1.0,1.0E7,0.0,128.0,0.0,0.0,1.0,1.0E8,0.0,256.0,0.0,0.0,1.0,1.0E9,0.0,512.0,0.0,0.0,1.0,1.0E10,0.0,1024.0,0.0
0,6.235795454545454,1,12,0,2,0,0.0,1.0,144.0,0.0,4.0,0.0,0.0,1.0,1728.0,0.0,8.0,0.0,0.0,1.0,20736.0,0.0,16.0,0.0,0.0,1.0,248832.0,0.0,32.0,0.0,0.0,1.0,2985984.0,0.0,64.0,0.0,0.0,1.0,3.5831808E7,0.0,128.0,0.0,0.0,1.0,4.29981696E8,0.0,256.0,0.0,0.0,1.0,5.159780352E9,0.0,512.0,0.0,0.0,1.0,6.1917364224E10,0.0,1024.0,0.0
0,-0.4375,0,7,2,1,1,0.0,0.0,49.0,4.0,1.0,1.0,0.0,0.0,343.0,8.0,1.0,1.0,0.0,0.0,2401.0,16.0,1.0,1.0,0.0,0.0,16807.0,32.0,1.0,1.0,0.0,0.0,117649.0,64.0,1.0,1.0,0.0,0.0,823543.0,128.0,1.0,1.0,0.0,0.0,5764801.0,256.0,1.0,1.0,0.0,0.0,4.0353607E7,512.0,1.0,1.0,0.0,0.0,2.82475249E8,1024.0,1.0,1.0
0,1.875,1,10,0,2,1,0.0,1.0,100.0,0.0,4.0,1.0,0.0,1.0,1000.0,0.0,8.0,1.0,0.0,1.0,10000.0,0.0,16.0,1.0,0.0,1.0,100000.0,0.0,32.0,1.0,0.0,1.0,1000000.0,0.0,64.0,1.0,0.0,1.0,1.0E7,0.0,128.0,1.0,0.0,1.0,1.0E8,0.0,256.0,1.0,0.0,1.0,1.0E9,0.0,512.0,1.0,0.0,1.0,1.0E10,0.0,1024.0,1.0
0,3.4479166666666665,1,12,0,2,1,0.0,1.0,144.0,0.0,4.0,1.0,0.0,1.0,1728.0,0.0,8.0,1.0,0.0,1.0,20736.0,0.0,16.0,1.0,0.0,1.0,248832.0,0.0,32.0,1.0,0.0,1.0,2985984.0,0.0,64.0,1.0,0.0,1.0,3.5831808E7,0.0,128.0,1.0,0.0,1.0,4.29981696E8,0.0,256.0,1.0,0.0,1.0,5.159780352E9,0.0,512.0,1.0,0.0,1.0,6.1917364224E10,0.0,1024.0,1.0
0,0.5473349033503908,1,24,0,1,2,0.0,1.0,576.0,0.0,1.0,4.0,0.0,1.0,13824.0,0.0,1.0,8.0,0.0,1.0,331776.0,0.0,1.0,16.0,0.0,1.0,7962624.0,0.0,1.0,32.0,0.0,1.0,1.91102976E8,0.0,1.0,64.0,0.0,1.0,4.586471424E9,0.0,1.0,128.0,0.0,1.0,1.10075314176E11,0.0,1.0,256.0,0.0,1.0,2.641807540224E12,0.0,1.0,512.0,0.0,1.0,6.3403380965376E13,0.0,1.0,1024.0
0,0.3375,0,7,2,2,2,0.0,0.0,49.0,4.0,4.0,4.0,0.0,0.0,343.0,8.0,8.0,8.0,0.0,0.0,2401.0,16.0,16.0,16.0,0.0,0.0,16807.0,32.0,32.0,32.0,0.0,0.0,117649.0,64.0,64.0,64.0,0.0,0.0,823543.0,128.0,128.0,128.0,0.0,0.0,5764801.0,256.0,256.0,256.0,0.0,0.0,4.0353607E7,512.0,512.0,512.0,0.0,0.0,2.82475249E8,1024.0,1024.0,1024.0
